cod ;f_Hz;GMPaH;AnH;p200_%;p4_%;p38_%;p34_%;vv_%;vbe_%;vma_%;vfa_%;Elab_Mpa;dm_graus
3.24;5423.078572;222.4200711;20.63296392;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;28766.72396;4.843343335
3.25;7626.204243;240.3524054;19.84619924;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;29170.9555;4.621808585
3.26;27115.39286;315.2827077;17.13257589;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;30485.172;3.886886629
3.27;54230.78572;361.7368382;15.7926733;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;31087.99853;3.537933523
3.28;271153.9286;484.3847131;13.06115798;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;32221.4443;2.846343054
3.29;542307.8572;543.3291832;12.04080431;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;32611.51182;2.592126995
3.3;1355769.643;626.5296243;10.82612252;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;33051.67023;2.290123014
4.01;1.48261E-05;0.001333751;79.21021536;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;143.1843776;29.17261664
4.02;7.41307E-05;0.006260536;77.9545777;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;285.4628994;34.33032175
4.03;0.000148261;0.012134543;77.23161826;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;391.3468697;35.80884628
4.04;0.000593045;0.044391933;75.35747302;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;745.7875223;36.60110269
4.05;0.000741307;0.0544417;74.99397652;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;827.4151649;36.43498967
4.06;0.001482613;0.101542816;73.7402136;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;1139.224372;35.434513
4.07;0.002965227;0.185999343;72.28241405;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;1557.164437;33.80836617
4.08;0.003706533;0.225052582;71.76665541;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;1718.292533;33.18021093
4.09;0.005930454;0.333780571;70.60276037;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;2105.535645;31.73338987
4.1;0.029652268;1.186052431;65.78557272;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;4005.35326;26.18101216
4.11;0.059304535;1.963369398;63.31544208;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;5129.656302;23.80690548
4.12;0.074130669;2.296294115;62.47278831;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;5532.162571;23.06876718
4.13;0.148261338;3.669679653;59.72193444;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;6904.69022;20.88259085
4.14;0.370653345;6.542740563;55.82984062;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;8978.885057;18.27423693
4.15;0.741306691;9.820790793;52.75788009;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;10709.7643;16.52402081
4.16;3.706533455;22.78810942;45.57507993;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;15046.06369;13.15389094
4.17;7.413066909;31.40233977;42.61551839;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;16953.25372;11.96598677
4.18;18.53266727;46.26218069;38.96116571;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;19420.85123;10.60015554
4.19;20.01528066;47.70561045;38.67039064;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;19623.23981;10.49501127
4.2;100.0764033;85.384501;33.25627826;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;23595.41455;8.585452639
4.21;200.1528066;106.1300382;31.33525031;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;25121.44234;7.90927581
4.22;1000.764033;164.2694399;27.78649776;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;28178.31008;6.602875575
4.23;2001.528066;193.0913596;26.60888637;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;29285.5829;6.133936981
4.24;5003.820164;233.9554351;25.32479279;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;30567.12145;5.584537027
4.25;5189.146837;235.6318708;25.27959049;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;30613.91233;5.564225586
4.26;25945.73418;312.667801;23.6476613;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;32402.24086;4.763302883
4.27;51891.46837;346.8271651;23.13103444;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;33019.27327;4.469813074
4.28;259457.3418;425.7592568;22.24620914;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;34161.50047;3.883689255
4.29;518914.6837;458.8346477;21.97007269;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;34548.20645;3.666020659
