,otimizador,repeticao,teste,modelo,RMSE,R2
28,L-BFGS-B,29,0.33333,ch,6942.581063686024,0.7195865426870259
29,L-BFGS-B,30,0.33333,ch,7284.323843221957,0.7064991949012887
30,L-BFGS-B,1,0.33333,sak,0.1420788935901439,0.9616918662337797
31,L-BFGS-B,2,0.33333,sak,0.14531447389261984,0.9581138563824989
32,L-BFGS-B,3,0.33333,sak,0.15062131746028418,0.9555869988217164
33,L-BFGS-B,4,0.33333,sak,0.13753973521218096,0.9634198728618554
34,L-BFGS-B,5,0.33333,sak,0.1416363236462515,0.9611027722749211
35,L-BFGS-B,6,0.33333,sak,0.14006965199616872,0.9622863472805829
36,L-BFGS-B,7,0.33333,sak,0.14325039699200906,0.9611611538368179
37,L-BFGS-B,8,0.33333,sak,0.1417321873117128,0.9620378533543802
38,L-BFGS-B,9,0.33333,sak,0.1388002393938458,0.9617455732510797
39,L-BFGS-B,10,0.33333,sak,0.15006089383865884,0.9573064131785953
40,L-BFGS-B,11,0.33333,sak,0.13377829366377297,0.966452059738542
41,L-BFGS-B,12,0.33333,sak,0.14676345280146763,0.9588511541900653
42,L-BFGS-B,13,0.33333,sak,0.14154684773150494,0.9619432301061315
43,L-BFGS-B,14,0.33333,sak,0.14802972743998707,0.9596575096512355
44,L-BFGS-B,15,0.33333,sak,0.14110142539387538,0.9621939505902173
45,L-BFGS-B,16,0.33333,sak,0.14032678884768465,0.9613028954547482
46,L-BFGS-B,17,0.33333,sak,0.14841455223739727,0.9583651820023384
47,L-BFGS-B,18,0.33333,sak,0.14874666760371322,0.9601940985058803
48,L-BFGS-B,19,0.33333,sak,0.14285660949288453,0.9618270652441233
49,L-BFGS-B,20,0.33333,sak,0.1420175964540097,0.9595893638948743
50,L-BFGS-B,21,0.33333,sak,0.13987982974541216,0.9642794735902765
51,L-BFGS-B,22,0.33333,sak,0.1409023635592322,0.9608953820740714
52,L-BFGS-B,23,0.33333,sak,0.14890052764858067,0.9594822764932046
53,L-BFGS-B,24,0.33333,sak,0.14908927738021036,0.9556517928202068
54,L-BFGS-B,25,0.33333,sak,0.14361391950161387,0.9609018613236308
