exec	otimizador	repeticao	parte	modelo	RMSE	R2
455	L-BFGS-B	16	6	sak	0.137280	0.963415
456	L-BFGS-B	16	7	sak	0.141156	0.964458
457	L-BFGS-B	16	8	sak	0.131406	0.962812
458	L-BFGS-B	16	9	sak	0.149447	0.956302
459	L-BFGS-B	16	10	sak	0.155522	0.957778
460	L-BFGS-B	17	1	sak	0.156060	0.955074
461	L-BFGS-B	17	2	sak	0.147664	0.960280
462	L-BFGS-B	17	3	sak	0.144319	0.962547
463	L-BFGS-B	17	4	sak	0.145272	0.958082
464	L-BFGS-B	17	5	sak	0.148127	0.958195
465	L-BFGS-B	17	6	sak	0.148081	0.953455
466	L-BFGS-B	17	7	sak	0.132045	0.964248
467	L-BFGS-B	17	8	sak	0.141919	0.961916
468	L-BFGS-B	17	9	sak	0.120519	0.968157
469	L-BFGS-B	17	10	sak	0.145003	0.963073
470	L-BFGS-B	18	1	sak	0.159903	0.947272
471	L-BFGS-B	18	2	sak	0.152438	0.955479
472	L-BFGS-B	18	3	sak	0.161343	0.952180
473	L-BFGS-B	18	4	sak	0.121581	0.967131
474	L-BFGS-B	18	5	sak	0.146434	0.964265
475	L-BFGS-B	18	6	sak	0.135317	0.963826
476	L-BFGS-B	18	7	sak	0.155610	0.955172
477	L-BFGS-B	18	8	sak	0.129494	0.966808
478	L-BFGS-B	18	9	sak	0.127163	0.969721
479	L-BFGS-B	18	10	sak	0.138944	0.962073
480	L-BFGS-B	19	1	sak	0.147504	0.955223
481	L-BFGS-B	19	2	sak	0.120133	0.970083
482	L-BFGS-B	19	3	sak	0.151971	0.957220
483	L-BFGS-B	19	4	sak	0.149575	0.959888
484	L-BFGS-B	19	5	sak	0.152111	0.958559
485	L-BFGS-B	19	6	sak	0.137299	0.959041
