exec,otimizador,repeticao,parte,modelo,RMSE,R2
197,L-BFGS-B,20,8,ch,4623.923894,0.839888103
198,L-BFGS-B,20,9,ch,6061.51378,0.772887238
199,L-BFGS-B,20,10,ch,7396.246436,0.709244487
200,L-BFGS-B,21,1,ch,7532.670403,0.70428312
201,L-BFGS-B,21,2,ch,7268.221867,0.71260332
202,L-BFGS-B,21,3,ch,7113.59222,0.724132502
203,L-BFGS-B,21,4,ch,6495.475394,0.749108593
204,L-BFGS-B,21,5,ch,5405.774791,0.779770348
205,L-BFGS-B,21,6,ch,8553.946288,0.637381066
206,L-BFGS-B,21,7,ch,6240.188026,0.758596982
207,L-BFGS-B,21,8,ch,7992.537056,0.68045543
208,L-BFGS-B,21,9,ch,7443.797572,0.712683161
209,L-BFGS-B,21,10,ch,5714.154184,0.787486337
210,L-BFGS-B,22,1,ch,8066.505915,0.687406463
211,L-BFGS-B,22,2,ch,5909.360351,0.771831461
212,L-BFGS-B,22,3,ch,7127.766415,0.716048804
213,L-BFGS-B,22,4,ch,7207.199192,0.72242968
214,L-BFGS-B,22,5,ch,7292.219086,0.70684108
215,L-BFGS-B,22,6,ch,6996.129573,0.718556341
216,L-BFGS-B,22,7,ch,6565.450347,0.719518508
217,L-BFGS-B,22,8,ch,6156.695324,0.770543067
218,L-BFGS-B,22,9,ch,7561.63119,0.68456078
219,L-BFGS-B,22,10,ch,7260.768793,0.717451546
220,L-BFGS-B,23,1,ch,6972.585635,0.719908054
221,L-BFGS-B,23,2,ch,7303.044471,0.710701986
222,L-BFGS-B,23,3,ch,5240.999532,0.811857497
223,L-BFGS-B,23,4,ch,6244.657833,0.752286564
224,L-BFGS-B,23,5,ch,9491.379916,0.626235126
225,L-BFGS-B,23,6,ch,5655.865602,0.783894948
226,L-BFGS-B,23,7,ch,7618.96949,0.700657384
227,L-BFGS-B,23,8,ch,7172.703216,0.709582588
228,L-BFGS-B,23,9,ch,7244.30574,0.710529538
229,L-BFGS-B,23,10,ch,6579.220484,0.745018148
230,L-BFGS-B,24,1,ch,6427.294118,0.760291528
231,L-BFGS-B,24,2,ch,6636.049997,0.73785422
232,L-BFGS-B,24,3,ch,8517.63961,0.651923366
233,L-BFGS-B,24,4,ch,7040.203936,0.724314582
234,L-BFGS-B,24,5,ch,7802.667015,0.690307389
235,L-BFGS-B,24,6,ch,8431.446662,0.656908783
236,L-BFGS-B,24,7,ch,7401.166745,0.714185426
237,L-BFGS-B,24,8,ch,4935.268159,0.816339874
238,L-BFGS-B,24,9,ch,5731.29843,0.767366678
239,L-BFGS-B,24,10,ch,6633.81207,0.739794393
240,L-BFGS-B,25,1,ch,8162.130357,0.680997698
241,L-BFGS-B,25,2,ch,6917.15224,0.726364229
242,L-BFGS-B,25,3,ch,7806.802369,0.688694026
243,L-BFGS-B,25,4,ch,7517.710641,0.703546149
244,L-BFGS-B,25,5,ch,7632.605113,0.697936435
245,L-BFGS-B,25,6,ch,5766.220225,0.777843896
246,L-BFGS-B,25,7,ch,6512.495572,0.739335221
247,L-BFGS-B,25,8,ch,7469.232903,0.708329764
248,L-BFGS-B,25,9,ch,6016.27932,0.776949599
249,L-BFGS-B,25,10,ch,6145.853459,0.728647045
250,L-BFGS-B,26,1,ch,6961.730386,0.722054702
251,L-BFGS-B,26,2,ch,7722.749688,0.695005671
252,L-BFGS-B,26,3,ch,6518.929055,0.751875341
253,L-BFGS-B,26,4,ch,7332.576068,0.688927908
254,L-BFGS-B,26,5,ch,5687.054656,0.785193166
255,L-BFGS-B,26,6,ch,7397.328249,0.696484404
256,L-BFGS-B,26,7,ch,8050.926225,0.686248464
257,L-BFGS-B,26,8,ch,5641.510752,0.788737684
258,L-BFGS-B,26,9,ch,7904.894696,0.673000958
259,L-BFGS-B,26,10,ch,6724.205698,0.746261236
260,L-BFGS-B,27,1,ch,5221.786802,0.81725847
261,L-BFGS-B,27,2,ch,7438.232161,0.702034519
262,L-BFGS-B,27,3,ch,8345.687522,0.653649178
263,L-BFGS-B,27,4,ch,4709.494855,0.833359058
264,L-BFGS-B,27,5,ch,7127.056037,0.707926313
265,L-BFGS-B,27,6,ch,7264.353366,0.715766339
266,L-BFGS-B,27,7,ch,6489.415692,0.752101357
267,L-BFGS-B,27,8,ch,7763.522175,0.683516442
268,L-BFGS-B,27,9,ch,7229.673513,0.713053096
269,L-BFGS-B,27,10,ch,7942.594176,0.681234677
270,L-BFGS-B,28,1,ch,6376.141028,0.759799598
271,L-BFGS-B,28,2,ch,8279.937798,0.679662592
272,L-BFGS-B,28,3,ch,6174.221383,0.756888861
273,L-BFGS-B,28,4,ch,6739.847585,0.734018124
274,L-BFGS-B,28,5,ch,7484.31525,0.707372872
275,L-BFGS-B,28,6,ch,5248.303962,0.801025896
276,L-BFGS-B,28,7,ch,5745.558475,0.770626206
277,L-BFGS-B,28,8,ch,7023.370039,0.721963093
278,L-BFGS-B,28,9,ch,7043.578905,0.708709174
279,L-BFGS-B,28,10,ch,9358.704614,0.62027987
280,L-BFGS-B,29,1,ch,7233.178119,0.709106453
281,L-BFGS-B,29,2,ch,8264.387613,0.656876274
282,L-BFGS-B,29,3,ch,6237.882544,0.767250627
283,L-BFGS-B,29,4,ch,7591.571462,0.689175204
284,L-BFGS-B,29,5,ch,6389.911299,0.751536692
