Bairros;Densidade habitacional territorial;Percentual de area urbanizada;Grau de verticalizacao;Percentual area pracas;Percentual da area construida que e residencial;Percentual de imoveis alugados;Postos de trabalho – comercio;Postos de trabalho – servicos;Postos de trabalho – indústria de transformacao;Densidade domiciliar;Percentual domicilios recenseados ocupados;Indice desenvolvimento social;Percentual domicilios abaixo da linha de pobreza;Percentual da populacao vivendo em favelas;Homicidio doloso;Roubo a transeunte;Roubo de veiculos;Furto de veiculos;Menor Distancia centralidade tipo 1;Menor Distancia centralidade tipo 2;Menor Distancia centralidade tipo 3;Distância praia fora da baia mais proxima;Indice de Qualidade praia;Indice de transporte
Flamengo;0.62819642;0.89361702;0.63134119;0.18611987;0.87662836;0.63558031;0.17572845;0.22937075;0.00971251;0.02255639;0.80347207;0.81693989;0.15786638;0.0236417;0.03571429;0.26541307;0.10845588;0.27533461;0.04071247;0.28246753;0.07067138;0.06818182;0.16;0.57142857
Freguesia Ilha do Governador;0.095124;0.54255319;0.06250032;0.01829653;0.91257235;0.43773055;0.01351757;0.00902753;0.0019425;0.62406015;0.93389717;0.42896175;0.33728448;0.33490111;0.375;0.23551171;0.13097426;0.43977055;0.30788804;0.21103896;0.34275618;0.38636364;0.10666667;0
Freguesia de Jacarepagua;0.13749297;0.57446809;0.20202853;0.05236593;0.83602965;0.25352386;0.32742565;0.30391491;0.15986791;0.59398496;0.80792344;0.51092896;0.2262931;0.10426051;0.11607143;0.17046856;0.09191176;0.0707457;0.38167939;0.21103896;0.34275618;0.38636364;0;0
Galeao;0.02059652;0.61702128;0;0.00063091;0.30812739;0.28594832;0.1137729;0.19335002;0.23980186;0.7443609;0.94302248;0.32240437;0.52262931;0.60915986;0.375;0.23551171;0.13097426;0.43977055;0.28753181;0.55844156;0.28268551;0.6;0.10666667;0.28571429
Gamboa;0.24056887;0.9787234;0.23881054;0.03217666;0.22086323;0.68736072;0.00871132;0.00632821;0.01476301;0.71428571;0.85087915;0.28961749;0.71982759;0.30800218;0.20535714;0.27466091;0.140625;0.25334608;0.02798982;0.32792208;0.17314488;0.26818182;0;0.28571429
Gardenia Azul;0.29367405;0.95744681;0.16013998;0.08895899;0.65586223;0.94415291;0.05444578;0.00865213;0.09489122;0.61654135;0.85622079;0.31967213;0.29849138;0.40098887;0.5625;0.36528977;0.16498162;0.34608031;0.42748092;0.2012987;0.4664311;0.37272727;0;0
Gavea;0.12451688;0.41489362;0.37327747;0.63154574;0.67819562;0.43814973;0.19457795;0.19785484;0.03613054;0.27819549;0.82038727;0.82786885;0.25915948;0.12023566;0.02678571;0.0622688;0.02389706;0.11089866;0.12722646;0.19480519;0.25795053;0.12727273;0;0
Gloria;0.17178371;0.95744681;0.20722644;0.57223975;0.467668;0.85018473;0.07231901;0.22415088;0.01252914;0;0.74827509;0.68852459;0.12015086;0;0.03571429;0.26541307;0.10845588;0.27533461;0;0.27922078;0.08480565;0.06818182;0.16;0.57142857
Grajau;0.13564556;0.26595745;0.30661465;0.01324921;0.90627666;0.32682817;0.031541;0.04812299;0.01194639;0.42857143;0.82550634;0.6420765;0.1875;0.13931303;0.14285714;0.30024661;0.22196691;0.27724665;0.13740458;0.40584416;0.11660777;0.42272727;0;0
Guadalupe;0.25229203;0.94680851;0.09003685;0.09842271;0.65710033;0.20471316;0.16709222;0.02456203;0.07536908;0.64661654;0.90251502;0.34699454;0.45851293;0.05445392;0.53571429;0.51078915;0.63189338;0.26003824;0.2519084;0.25974026;0.25088339;0.66818182;0;0.28571429
Guaratiba;0.01179387;0.18085106;0.02163304;0.01955836;0.79556004;0.13037942;0.15905677;0.03230247;0.16181041;0.86466165;0.58401959;0.09289617;0.72036638;0.2541783;0.17857143;0.12515413;0.06985294;0.17973231;0.9821883;0.27272727;0.75971731;0.28181818;0.10666667;0.28571429
Higienopolis;0.27835754;1;0.15226269;0.32744479;0.75361101;0.67923429;0.06863923;0.04447622;0.07954545;0.58646617;0.70598709;0.47540984;0.16810345;0.09527786;1;0.51418002;0.38556985;0.33843212;0.1043257;0.37337662;0.09187279;0.40454545;0;0
Honorio Gurgel;0.32832827;0.9893617;0.07630022;0.33312303;0.90451752;0.36234619;0.01216582;0.00455846;0.05613831;0.66917293;0.84531493;0.33060109;0.56788793;0.25537339;0.34821429;0.60388409;0.99448529;0.47609943;0.2086514;0.31818182;0.30388693;0.6;0;0.14285714
Humaita;0.25764944;0.5;0.5433661;0.03911672;0.79836339;0.50234518;0.03236708;0.08897033;0.02544678;0.12781955;0.77387047;0.84153005;0.22306034;0.02326067;0.13392857;0.20900123;0.06617647;0.20076482;0.11704835;0.28896104;0.12720848;0.07727273;0;0
Imperial de Sao Cristovao;0.12979169;0.96808511;0.22114985;1;0.21886152;0.48229081;0.59650045;0.65409367;0.69900932;0.30827068;0.71711551;0.44262295;0.33782328;0.03214131;0.28571429;0.31720099;0.20082721;0.42447419;0.09160305;0.36363636;0;0.35;0;1
