,otimizador,repeticao,teste%,modelo,RMSE,R2
51,L-BFGS-B,22,0.1,ch,7835.412709425926,0.6854147552974331
52,L-BFGS-B,23,0.1,ch,8087.1057874464495,0.6814867592922627
53,L-BFGS-B,24,0.1,ch,7644.247951227308,0.6810425467067638
54,L-BFGS-B,25,0.1,ch,8055.92614624102,0.6858266197283598
55,L-BFGS-B,26,0.1,ch,7213.621603931655,0.6997667941591559
56,L-BFGS-B,27,0.1,ch,5501.206867443348,0.8009920178431063
57,L-BFGS-B,28,0.1,ch,7335.783873837825,0.6822520459257208
58,L-BFGS-B,29,0.1,ch,6776.693393951608,0.7337725248485956
59,L-BFGS-B,30,0.1,ch,7057.5979526249685,0.7116344835498043
60,L-BFGS-B,1,0.1,sak,0.12326526854620642,0.9652570449008019
61,L-BFGS-B,2,0.1,sak,0.14555657021414947,0.952085239676889
62,L-BFGS-B,3,0.1,sak,0.16073175132287035,0.9474337107769832
63,L-BFGS-B,4,0.1,sak,0.14841099308113678,0.9593967993086896
64,L-BFGS-B,5,0.1,sak,0.14366846810569667,0.9647436427489355
65,L-BFGS-B,6,0.1,sak,0.13431764048386324,0.9641481784284822
66,L-BFGS-B,7,0.1,sak,0.1505489762537152,0.9577607473167219
67,L-BFGS-B,8,0.1,sak,0.14705240828799418,0.9613920218317709
68,L-BFGS-B,9,0.1,sak,0.14766524762725677,0.9595594897460586
69,L-BFGS-B,10,0.1,sak,0.1431887588348613,0.9580568535980533
70,L-BFGS-B,11,0.1,sak,0.1503489846721887,0.958234238878791
71,L-BFGS-B,12,0.1,sak,0.14242014865714236,0.9633016403899851
72,L-BFGS-B,13,0.1,sak,0.14698299138332724,0.9610724872147192
73,L-BFGS-B,14,0.1,sak,0.1404358508250791,0.9580092960061594
74,L-BFGS-B,15,0.1,sak,0.1453386092846169,0.9601060872027608
75,L-BFGS-B,16,0.1,sak,0.1325994171473034,0.9594471198845719
76,L-BFGS-B,17,0.1,sak,0.13991561177264938,0.9661831510607695
77,L-BFGS-B,18,0.1,sak,0.14946354907081466,0.9600193703471868
78,L-BFGS-B,19,0.1,sak,0.14914953196790665,0.9570599943855008
79,L-BFGS-B,20,0.1,sak,0.15329328820313068,0.9551969963798471
80,L-BFGS-B,21,0.1,sak,0.13955923331284964,0.9630558931642361
81,L-BFGS-B,22,0.1,sak,0.15702008524702898,0.9580967733058966
82,L-BFGS-B,23,0.1,sak,0.16100656945370634,0.9566077502065975
83,L-BFGS-B,24,0.1,sak,0.150805311640884,0.9544937818883696
84,L-BFGS-B,25,0.1,sak,0.16616306566341382,0.9438594083422183
85,L-BFGS-B,26,0.1,sak,0.16473643536259788,0.9537680414959491
86,L-BFGS-B,27,0.1,sak,0.16241749941630906,0.9548273644745359
87,L-BFGS-B,28,0.1,sak,0.13507495159053726,0.9690631534311978
88,L-BFGS-B,29,0.1,sak,0.15327478207695983,0.9553071846820833
89,L-BFGS-B,30,0.1,sak,0.13976611245388676,0.9601986202252137
90,L-BFGS-B,1,0.15,bw,0.18391054026290982,0.9427252639690956
91,L-BFGS-B,2,0.15,bw,0.1612825236317984,0.9432769727549492
92,L-BFGS-B,3,0.15,bw,0.18036165594352327,0.9339650010711199
93,L-BFGS-B,4,0.15,bw,0.21032880759826242,0.9222984394159619
94,L-BFGS-B,5,0.15,bw,0.21921760756944367,0.9147150074660523
95,L-BFGS-B,6,0.15,bw,0.1680721242220379,0.940293308652779
96,L-BFGS-B,7,0.15,bw,0.17164886454963532,0.9489672642744007
97,L-BFGS-B,8,0.15,bw,0.17345594888663138,0.9390286579245573
98,L-BFGS-B,9,0.15,bw,0.1817462221692052,0.9369022518803791
99,L-BFGS-B,10,0.15,bw,0.16655511617480298,0.943877962437031
100,L-BFGS-B,11,0.15,bw,0.16836396329504863,0.9377347665313
101,L-BFGS-B,12,0.15,bw,0.1651858122362232,0.9446819077722513
102,L-BFGS-B,13,0.15,bw,0.19147959273892792,0.9258977804478684
103,L-BFGS-B,14,0.15,bw,0.202914249396617,0.9225368194012445
104,L-BFGS-B,15,0.15,bw,0.21923503432485006,0.9191903053983153
105,L-BFGS-B,16,0.15,bw,0.20198466466378298,0.9178282485343677
106,L-BFGS-B,17,0.15,bw,0.17779509038991345,0.9304781158151949
107,L-BFGS-B,18,0.15,bw,0.20308103559948434,0.920972465337335
108,L-BFGS-B,19,0.15,bw,0.17846252125290366,0.9410708992113358
109,L-BFGS-B,20,0.15,bw,0.17784583469504592,0.9350938181742844
110,L-BFGS-B,21,0.15,bw,0.17365641480653227,0.945570455962405
111,L-BFGS-B,22,0.15,bw,0.18885327209846745,0.9264332388541906
112,L-BFGS-B,23,0.15,bw,0.17269941672685082,0.9401882048720418
113,L-BFGS-B,24,0.15,bw,0.1601472040842264,0.9491323195194757
114,L-BFGS-B,25,0.15,bw,0.1777124487807415,0.9382206676781696
115,L-BFGS-B,26,0.15,bw,0.1947250363704911,0.9231609661403702
116,L-BFGS-B,27,0.15,bw,0.17034009588680812,0.9407495385921321
117,L-BFGS-B,28,0.15,bw,0.19782573638067452,0.9251132004365227
118,L-BFGS-B,29,0.15,bw,0.1758845876877743,0.9366793859298082
119,L-BFGS-B,30,0.15,bw,0.18257093925517923,0.9333228141661537
120,L-BFGS-B,1,0.15,ch,6484.8863127366885,0.7484560491524976
121,L-BFGS-B,2,0.15,ch,6389.527344875089,0.7471704253290515
122,L-BFGS-B,3,0.15,ch,7735.851845756164,0.6848192816086062
123,L-BFGS-B,4,0.15,ch,7157.612840515637,0.7192858705244031
124,L-BFGS-B,5,0.15,ch,7587.256176603689,0.7012870492855652
125,L-BFGS-B,6,0.15,ch,6971.589723145762,0.7227951838155223
126,L-BFGS-B,7,0.15,ch,5482.902690863341,0.7974786113580575
127,L-BFGS-B,8,0.15,ch,5138.192617060904,0.8223061897884765
128,L-BFGS-B,9,0.15,ch,7247.965706249952,0.7149764674654024
129,L-BFGS-B,10,0.15,ch,8400.08172907263,0.6613888155823437
130,L-BFGS-B,11,0.15,ch,6838.210616896807,0.7339055169115221
131,L-BFGS-B,12,0.15,ch,7193.1858555668505,0.7173673805977683
